flightdate,origincityname,crsdeptime,depdelay,distance,marketing_airline_network,hour,delayed,city_clean,latitude,longitude,temp_mean,precipitation,wind_speed
2018-01-02,"Baltimore, MD",1300,11.0,611.0,WN,13,0,Baltimore,39.29038,-76.61219,-8.5,0.0,15.9
2018-01-05,"Atlanta, GA",2333,-8.0,302.0,DL,23,0,Atlanta,33.749,-84.38798,-4.4,0.0,16.4
2018-01-01,"Atlanta, GA",1105,74.0,547.0,DL,11,1,Atlanta,33.749,-84.38798,-4.5,0.0,18.5
2018-01-02,"Houston, TX",625,7.0,696.0,WN,6,0,Houston,29.76328,-95.36327,-0.5,0.0,14.6
2018-01-11,"Orlando, FL",1413,-9.0,404.0,NK,14,0,Orlando,28.53834,-81.37924,19.9,0.3,9.8
2018-01-11,"Atlanta, GA",920,41.0,223.0,DL,9,1,Atlanta,33.749,-84.38798,13.0,5.3,17.5
2018-01-04,"Houston, TX",953,0.0,2007.0,UA,9,0,Houston,29.76328,-95.36327,2.7,0.0,7.6
2018-01-25,"Detroit, MI",1843,1.0,1127.0,NK,18,0,Detroit,42.33143,-83.04575,-2.5,0.0,8.6
2018-01-13,"Houston, TX",507,-7.0,247.0,AA,5,0,Houston,29.76328,-95.36327,4.1,0.0,12.5
2018-01-01,"Houston, TX",830,2.0,277.0,WN,8,0,Houston,29.76328,-95.36327,2.6,0.0,22.8
2018-01-02,"Detroit, MI",1621,0.0,1123.0,UA,16,0,Detroit,42.33143,-83.04575,-14.8,0.0,20.3
2018-01-27,"Atlanta, GA",1050,-3.0,508.0,DL,10,0,Atlanta,33.749,-84.38798,10.0,3.2,14.7
2018-01-02,"Orlando, FL",1610,32.0,896.0,F9,16,1,Orlando,28.53834,-81.37924,8.3,0.2,25.3
2018-01-30,"Honolulu, HI",1940,-7.0,102.0,HA,19,0,Honolulu,21.30694,-157.85834,22.7,0.0,10.4
2018-01-23,"Atlanta, GA",1400,0.0,1590.0,DL,14,0,Atlanta,33.749,-84.38798,10.8,12.1,18.7
2018-01-01,"Charlotte, NC",950,6.0,75.0,AA,9,0,Charlotte,35.22709,-80.84313,-5.2,0.0,12.8
2018-01-04,"Houston, TX",1420,35.0,1190.0,UA,14,1,Houston,29.76328,-95.36327,2.7,0.0,7.6
2018-01-01,"Atlanta, GA",857,17.0,526.0,DL,8,1,Atlanta,33.749,-84.38798,-4.5,0.0,18.5
2018-01-15,"Detroit, MI",1604,55.0,1084.0,NK,16,1,Detroit,42.33143,-83.04575,-7.0,2.0,17.1
2018-01-07,"Houston, TX",940,-2.0,517.0,UA,9,0,Houston,29.76328,-95.36327,14.4,0.2,16.5
2018-01-21,"Dallas/Fort Worth, TX",1244,18.0,237.0,AA,12,1,Dallas/Fort Worth,32.89595,-97.0372,16.8,8.8,23.3
2018-01-17,"Houston, TX",1007,278.0,966.0,UA,10,1,Houston,29.76328,-95.36327,-2.7,0.0,17.1
2018-01-11,"Detroit, MI",835,-7.0,549.0,DL,8,0,Detroit,42.33143,-83.04575,10.0,0.0,29.6
2018-01-28,"Charlotte, NC",2210,6.0,157.0,AA,22,0,Charlotte,35.22709,-80.84313,11.5,13.4,5.1
2018-01-24,"Dallas/Fort Worth, TX",1305,-9.0,695.0,AA,13,0,Dallas/Fort Worth,32.89595,-97.0372,6.6,0.0,5.8
2018-01-02,"Houston, TX",1441,-2.0,1416.0,UA,14,0,Houston,29.76328,-95.36327,-0.5,0.0,14.6
2018-01-28,"New York, NY",1850,-5.0,963.0,DL,18,0,New York,40.71427,-74.00597,8.9,4.1,12.9
2018-01-22,"Atlanta, GA",1605,-3.0,813.0,DL,16,0,Atlanta,33.749,-84.38798,11.0,1.8,14.3
2018-01-02,"Houston, TX",1840,29.0,488.0,WN,18,1,Houston,29.76328,-95.36327,-0.5,0.0,14.6
2018-01-19,"Dallas/Fort Worth, TX",1730,-3.0,802.0,UA,17,0,Dallas/Fort Worth,32.89595,-97.0372,4.1,0.0,16.5
2018-01-15,"Dallas/Fort Worth, TX",700,65.0,802.0,NK,7,1,Dallas/Fort Worth,32.89595,-97.0372,7.1,0.1,12.2
2018-01-23,"Atlanta, GA",1738,-2.0,153.0,DL,17,0,Atlanta,33.749,-84.38798,10.8,12.1,18.7
2018-01-12,"Atlanta, GA",1700,64.0,581.0,DL,17,1,Atlanta,33.749,-84.38798,13.7,19.9,15.2
2018-01-16,"Honolulu, HI",1305,-4.0,72.0,HA,13,0,Honolulu,21.30694,-157.85834,23.0,0.0,16.2
2018-01-03,"Atlanta, GA",1101,-1.0,164.0,DL,11,0,Atlanta,33.749,-84.38798,-2.3,0.0,6.9
2018-01-11,"Honolulu, HI",800,-5.0,2556.0,DL,8,0,Honolulu,21.30694,-157.85834,22.8,0.0,13.2
2018-01-13,"Houston, TX",1435,-5.0,1009.0,AA,14,0,Houston,29.76328,-95.36327,4.1,0.0,12.5
