delayed,marketing_airline_network,airport_code,destcityname,distance,year,month,dayofmonth,day_of_week,hour,temp_mean,precipitation,wind_speed
0,UA,MDW,"Fargo, ND",896.40238,2018,11,5,0,20,-13.222222222222221,4.3,21.0
1,UA,ORD,"Richmond, VA",1033.19628,2018,1,29,0,13,-20.88888888888889,0.5,18.0
1,UA,IAH,"Pensacola, FL",786.96726,2018,12,4,1,19,-12.277777777777779,0.0,14.6
0,AA,PIT,"Miami, FL",1630.26142,2018,1,13,5,19,-23.666666666666668,4.5,21.4
1,B6,SFB,"San Juan, PR",1913.50526,2018,1,1,0,6,-11.972222222222221,4.5,26.6
0,UA,OGG,"San Francisco, CA",3176.83716,2018,10,1,0,22,-3.6666666666666674,0.0,18.2
1,AA,PHX,"Washington, DC",3176.83716,2018,10,14,6,12,-7.305555555555555,1.1,10.5
0,DL,ATL,"Dallas/Fort Worth, TX",1176.42754,2018,12,23,6,21,-13.166666666666666,1.6,24.5
1,DL,ATL,"Augusta, GA",230.13562,2018,1,6,5,10,-18.61111111111111,0.0,16.8
0,B6,LGA,"Charleston, SC",1023.54024,2018,1,25,3,7,-19.055555555555557,0.0,23.5
0,DL,FSD,"Minneapolis, MN",315.43064,2018,12,24,0,5,-19.055555555555557,0.0,16.6
0,DL,OKC,"Atlanta, GA",1224.70774,2018,1,22,0,7,-14.11111111111111,0.0,38.7
0,DL,SFB,"Seattle, WA",3176.83716,2018,12,14,4,7,-5.694444444444445,4.5,19.8
1,DL,BJC,"New York, NY",2607.1308,2018,1,15,0,10,-21.416666666666668,2.8,19.6
0,AA,MDW,"Madison, WI",175.41806,2018,11,12,0,8,-18.083333333333332,0.7,17.2
0,DL,PDK,"Dothan, AL",273.5878,2018,10,30,1,13,-10.75,0.0,14.0
0,DL,JFK,"Raleigh/Durham, NC",687.18818,2018,12,5,2,11,-18.555555555555557,0.0,17.3
1,DL,ATL,"Lexington, KY",489.23936,2018,11,12,0,15,-14.25,4.5,24.4
1,UA,OKC,"Houston, TX",635.6893,2018,10,5,4,12,-3.416666666666666,0.0,30.2
0,WN,BOS,"St. Louis, MO",1684.97898,2018,12,20,3,7,-15.555555555555555,0.0,14.5
0,UA,EWR,"Rochester, NY",395.89764,2018,10,10,2,21,-4.8055555555555545,0.4,15.3
0,WN,SFB,"Philadelphia, PA",1385.64174,2018,11,2,4,12,-4.222222222222223,1.2,25.6
1,UA,ORD,"Akron, OH",552.00362,2018,1,12,4,7,-21.63888888888889,0.0,31.4
0,UA,BJC,"Oklahoma City, OK",796.6233,2018,1,29,0,14,-16.22222222222222,0.0,13.0
1,AA,ORD,"Indianapolis, IN",284.85318,2018,1,2,1,11,-26.166666666666664,0.0,22.4
0,UA,ORD,"Tampa, FL",1627.04274,2018,12,25,1,11,-16.666666666666668,0.0,11.0
0,WN,MKE,"Boston, MA",1384.0324,2018,12,28,4,6,-15.86111111111111,3.8,29.3
0,UA,DCA,"Boston, MA",664.65742,2018,1,25,3,12,-17.194444444444443,0.0,21.1
0,UA,LAX,"Dallas/Fort Worth, TX",1987.5348999999999,2018,12,17,0,13,-9.88888888888889,0.6,14.0
1,DL,PDK,"Bristol/Johnson City/Kingsport, TN",365.32018,2018,10,22,0,8,-11.88888888888889,0.0,11.7
0,DL,MKE,"Minneapolis, MN",477.97398,2018,11,1,3,6,-13.666666666666666,0.0,23.7
0,AA,MDW,"Philadelphia, PA",1091.1325199999999,2018,11,11,6,15,-17.416666666666668,0.0,18.5
1,UA,JFK,"Chicago, IL",1179.64622,2018,11,13,1,16,-12.305555555555555,4.5,28.4
0,DL,BFI,"Los Angeles, CA",1535.31036,2018,11,16,4,15,-12.444444444444445,0.7,16.1
0,AA,DCA,"New York, NY",342.78942,2018,10,22,0,12,-13.833333333333334,0.0,16.9
0,DL,DTW,"Madison, WI",500.50473999999997,2018,10,23,1,13,-13.25,0.0,24.0
0,WN,ORD,"Washington, DC",967.21334,2018,1,23,1,9,-18.305555555555557,2.2,19.9
0,DL,SDF,"Atlanta, GA",516.59814,2018,10,7,6,17,-3.944444444444445,0.7,10.3
0,AA,DTW,"Washington, DC",651.7827,2018,10,15,0,17,-14.055555555555555,2.4,26.8
0,AA,PHL,"Boston, MA",450.6152,2018,11,25,6,8,-12.88888888888889,4.5,22.2
0,AA,PNS,"Dallas/Fort Worth, TX",972.0413599999999,2018,12,18,1,7,-11.333333333333334,0.0,8.6
0,AS,BFI,"Salt Lake City, UT",1108.83526,2018,10,26,4,13,-10.63888888888889,4.5,28.5
0,DL,SLC,"Elko, NV",321.868,2018,11,26,0,14,-18.0,0.0,7.9
1,AA,SFO,"Los Angeles, CA",542.34758,2018,1,1,0,5,-11.305555555555555,0.0,9.2
0,UA,SFO,"Washington, DC",3176.83716,2018,1,9,1,16,-10.972222222222221,4.5,29.4
0,AA,SYR,"Washington, DC",479.58332,2018,10,26,4,11,-15.194444444444445,0.0,12.1
0,AS,SMF,"Seattle, WA",973.6507,2018,11,11,6,7,-9.11111111111111,0.0,19.2
0,AA,MCO,"Chicago, IL",1617.3867,2018,12,17,0,8,-10.555555555555555,0.0,13.0
0,DL,ATL,"Gainesville, FL",482.802,2018,10,11,3,22,-6.4444444444444455,4.5,36.1
0,DL,SEA,"Nashville, TN",3176.83716,2018,11,15,3,17,-12.11111111111111,0.7,18.0
1,AA,BFI,"Phoenix, AZ",1781.53938,2018,1,4,3,8,-15.083333333333334,3.6,11.4
0,B6,BOS,"San Francisco, CA",3176.83716,2018,1,8,0,21,-20.055555555555557,0.4,27.5
0,UA,DCA,"Newark, NJ",320.25866,2018,11,4,6,6,-13.25,0.0,11.7
