type,name,latitude,longitude,state_clean,city_clean,airport_code
medium_airport,Valley International Airport,26.228500366210938,-97.65440368652344,TX,Harlingen,HRL
medium_airport,Boone County Airport,36.26150131225586,-93.15470123291016,AR,Harrison,HRO
medium_airport,Huntsville International Carl T Jones Field,34.637199,-86.775101,AL,Huntsville,HSV
medium_airport,Tri-State Airport / Milton J. Ferguson Field,38.366699,-82.557999,WV,Huntington,HTS
medium_airport,Tweed New Haven Airport,41.26369858,-72.88680267,CT,New Haven,HVN
medium_airport,Havre City County Airport,48.541387,-109.762859,MT,Havre,HVR
medium_airport,Hilton Head Airport,32.2244,-80.697502,SC,Hilton Head Island,HHH
medium_airport,Cape Cod Gateway Airport,41.6693,-70.280403,MA,Hyannis,HYA
medium_airport,Hays Regional Airport,38.844521,-99.273148,KS,Hays,HYS
large_airport,Washington Dulles International Airport,38.9445,-77.455803,VA,Dulles,IAD
medium_airport,Niagara Falls International Airport,43.1073,-78.946198,NY,Niagara Falls,IAG
large_airport,George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438,TX,Houston,IAH
medium_airport,Wichita Eisenhower National Airport,37.649899,-97.433098,KS,Wichita,ICT
medium_airport,Idaho Falls Regional Airport,43.514599,-112.070999,ID,Idaho Falls,IDA
medium_airport,Wilmington Airport,39.678699,-75.606499,DE,Wilmington,ILG
medium_airport,Wilmington International Airport,34.270599365234375,-77.90260314941406,NC,Wilmington,ILM
medium_airport,Ford Airport,45.81911,-88.114557,MI,Kingsford,IMT
large_airport,Indianapolis International Airport,39.7173,-86.294403,IN,Indianapolis,IND
medium_airport,Falls International Airport,48.566200256347656,-93.4030990600586,MN,International Falls,INL
medium_airport,Imperial County Airport,32.83539,-115.574026,CA,Imperial,IPL
medium_airport,Williamsport Regional Airport,41.242126,-76.92245,PA,Williamsport,IPT
medium_airport,Kirksville Regional Airport,40.09349822998047,-92.5448989868164,MO,Kirksville,IRK
medium_airport,Long Island Mac Arthur Airport,40.79520035,-73.10019684,NY,Islip,ISP
medium_airport,Ithaca Tompkins Regional Airport,42.49100112915039,-76.4583969116211,NY,Ithaca,ITH
medium_airport,Mesa Gateway Airport,33.3078,-111.654999,AZ,Mesa,AZA
small_airport,Gogebic Iron County Airport,46.525298,-90.131578,MI,Ironwood,IWD
medium_airport,Jackson Hole Airport,43.6072998046875,-110.73799896240234,WY,Jackson,JAC
large_airport,Jackson-Medgar Wiley Evers International Airport,32.311199,-90.075897,MS,Jackson,JAN
large_airport,Jacksonville International Airport,30.492469,-81.687813,FL,Jacksonville,JAX
medium_airport,Jonesboro Municipal Airport,35.83169937133789,-90.64640045166016,AR,Jonesboro,JBR
large_airport,John F Kennedy International Airport,40.639447,-73.779317,NY,New York,JFK
medium_airport,Joplin Regional Airport,37.151798,-94.498299,MO,Joplin,JLN
medium_airport,Jamestown Regional Airport,46.92969894,-98.67819977,ND,Jamestown,JMS
medium_airport,Concord-Padgett Regional Airport,35.387798,-80.709099,NC,Concord,USA
medium_airport,John Murtha Johnstown Cambria County Airport,40.31610107421875,-78.83390045166016,PA,Johnstown,JST
medium_airport,Purdue University Airport,40.412875,-86.939363,IN,West Lafayette,LAF
medium_airport,Lakeland Linder International/Regional Airport,27.987656,-82.018776,FL,Lakeland,LAL
medium_airport,Capital City Airport,42.77870178222656,-84.58740234375,MI,Lansing,LAN
medium_airport,Laramie Regional Airport,41.31209945678711,-105.6750030517578,WY,Laramie,LAR
