year,month,dayofmonth,flightdate,marketing_airline_network,origincityname,destcityname,crsdeptime,deptime,depdelay,depdelayminutes,taxiout,wheelsoff,wheelson,taxiin,crsarrtime,arrtime,arrdelay,arrdelayminutes,crselapsedtime,actualelapsedtime,airtime,distance,distancegroup,carrierdelay,weatherdelay,nasdelay,securitydelay,lateaircraftdelay,hour,delayed,distance_bin,day_of_week,city_clean,state_clean,type,name,latitude,longitude,airport_code,temp_mean,precipitation,wind_speed
2018,11,9,2018-11-09,DL,"Salt Lake City, UT","Boston, MA",959,1010.0,11.0,11.0,26.0,1036.0,1638.0,10.0,1629,1648.0,19.0,19.0,270.0,278.0,242.0,2105.0,9,11.0,0.0,8.0,0.0,0.0,9,0,"(1107.0, 5095.0]",4,Salt Lake City,UT,large_airport,Salt Lake City International Airport,40.78886,-111.979866,SLC,0.7000000000000002,0.0,10.2
2018,12,30,2018-12-30,AA,"Phoenix, AZ","Des Moines, IA",936,939.0,3.0,3.0,24.0,1003.0,1327.0,41.0,1318,1408.0,50.0,50.0,162.0,209.0,144.0,1149.0,5,0.0,0.0,47.0,0.0,3.0,9,0,"(1107.0, 5095.0]",6,Phoenix,AZ,large_airport,Phoenix Sky Harbor International Airport,33.435302,-112.005905,PHX,7.5,0.0,13.1
2018,1,4,2018-01-04,DL,"Salt Lake City, UT","Lewiston, ID",2210,2158.0,-12.0,0.0,20.0,2218.0,2222.0,4.0,2308,2226.0,-42.0,0.0,118.0,88.0,64.0,461.0,2,0.0,0.0,0.0,0.0,0.0,22,0,"(305.0, 507.0]",3,Salt Lake City,UT,large_airport,Salt Lake City International Airport,40.78886,-111.979866,SLC,-2.1500000000000004,0.0,12.9
2018,12,14,2018-12-14,DL,"Atlanta, GA","Green Bay, WI",2057,2202.0,65.0,65.0,17.0,2219.0,2252.0,4.0,2211,2256.0,45.0,45.0,134.0,114.0,93.0,774.0,4,8.0,7.0,0.0,0.0,30.0,20,1,"(762.0, 1107.0]",4,Atlanta,GA,medium_airport,DeKalb Peachtree Airport,33.87633,-84.30213,PDK,9.0,24.7,27.3
2018,1,9,2018-01-09,DL,"Columbus, OH","Detroit, MI",1744,1737.0,-7.0,0.0,12.0,1749.0,1830.0,10.0,1904,1840.0,-24.0,0.0,80.0,63.0,41.0,155.0,1,0.0,0.0,0.0,0.0,0.0,17,0,"(15.999, 305.0]",1,Columbus,OH,large_airport,John Glenn Columbus International Airport,39.998001,-82.891899,CMH,0.25,0.0,11.4
2018,10,4,2018-10-04,WN,"Phoenix, AZ","Albuquerque, NM",1630,1632.0,2.0,2.0,6.0,1638.0,1825.0,5.0,1835,1830.0,-5.0,0.0,65.0,58.0,47.0,328.0,2,0.0,0.0,0.0,0.0,0.0,16,0,"(305.0, 507.0]",3,Phoenix,AZ,large_airport,Phoenix Sky Harbor International Airport,33.435302,-112.005905,PHX,24.25,0.4,12.7
2018,10,23,2018-10-23,DL,"Salt Lake City, UT","New Orleans, LA",1345,1344.0,-1.0,0.0,19.0,1403.0,1749.0,7.0,1805,1756.0,-9.0,0.0,200.0,192.0,166.0,1428.0,6,0.0,0.0,0.0,0.0,0.0,13,0,"(1107.0, 5095.0]",1,Salt Lake City,UT,large_airport,Salt Lake City International Airport,40.78886,-111.979866,SLC,12.55,0.7,16.9
2018,1,1,2018-01-01,HA,"Kahului, HI","Honolulu, HI",2008,2132.0,84.0,84.0,10.0,2142.0,2205.0,8.0,2045,2213.0,88.0,88.0,37.0,41.0,23.0,100.0,1,4.0,0.0,0.0,0.0,84.0,20,1,"(15.999, 305.0]",0,Kahului,HI,large_airport,Kahului International Airport,20.896263,-156.431837,OGG,21.5,0.0,25.7
2018,1,17,2018-01-17,DL,"Columbia, SC","Atlanta, GA",815,1149.0,214.0,214.0,67.0,1256.0,1341.0,11.0,932,1352.0,260.0,260.0,77.0,123.0,45.0,192.0,1,0.0,0.0,260.0,0.0,0.0,8,1,"(15.999, 305.0]",2,Columbia,SC,medium_airport,Columbia Metropolitan Airport,33.938801,-81.119499,CAE,1.15,3.8,22.3
2018,11,11,2018-11-11,HA,"Kahului, HI","Honolulu, HI",845,839.0,-6.0,0.0,10.0,849.0,914.0,9.0,924,923.0,-1.0,0.0,39.0,44.0,25.0,100.0,1,0.0,0.0,0.0,0.0,0.0,8,0,"(15.999, 305.0]",6,Kahului,HI,large_airport,Kahului International Airport,20.896263,-156.431837,OGG,23.6,0.0,23.5
2018,12,28,2018-12-28,UA,"Denver, CO","Tulsa, OK",1400,1359.0,-1.0,0.0,23.0,1422.0,1634.0,4.0,1640,1638.0,-2.0,0.0,100.0,99.0,72.0,541.0,3,0.0,0.0,0.0,0.0,0.0,14,0,"(507.0, 762.0]",4,Denver,CO,large_airport,Denver International Airport,39.860027,-104.673792,DEN,-7.1,0.1,12.2
