airline_id,airline_code,airline_name
3834,PNR,PAN Air
4021,POE,Porter Airlines
4031,PRF,Precision Air
18700,QER,SOCHI AIR CHATER
4089,QFA,Qantas
4091,QTR,Qatar Airways
5651,RAC,Royal Air Cambodge
4248,RAM,Royal Air Maroc
4234,RAR,Air Rarotonga
4255,RBA,Royal Brunei Airlines
16963,RBG,Air Arabia Egypt
1191,REU,Air Austral
11857,RFJ,Royal Falcon
4259,RJA,Royal Jordanian
1203,RLA,Airlinair
1206,RLN,Aero Lanka
3637,RNA,Nepal Airlines
3618,RON,Nauru Air Corporation
5179,ROT,Tarom
19676,RPO,Rainbow Air Polynesia
241,RSH,Air Sahara
1230,RSR,Aero-Service
4292,RWD,Rwandair Express
4178,RXA,Regional Express
4296,RYR,Ryanair
4304,RZO,SATA International
4305,SAA,South African Airways
4311,SAI,Shaheen Air International
4319,SAS,Scandinavian Airlines System
4429,SAT,SATA Air Acores
4329,SBI,S7 Airlines
4335,SBS,Seaborne Airlines
17891,SCO,Scoot
3386,SCW,Malmö Aviation
4356,SCX,Sun Country Airlines
641,SDM,Rossiya-Russian Airlines
4375,SEJ,Spicejet
5479,SEU,XL Airways France
319,SEY,Air Seychelles
4388,SFJ,Star Flyer
17094,SGG,Senegal Airlines
10675,SHA,Sharp Airlines
4435,SIA,Singapore Airlines
4436,SIB,Sibaviatrans
4438,SIH,Skynet Airlines
4454,SJY,Sriwijaya Air
4737,SKU,Sky Airline
4740,SKY,Skymark Airlines
4750,SLK,SilkAir
4752,SLM,Surinam Airways
1266,SMJ,Avient Aviation
4797,SOL,Solomon Airlines
4805,SOV,Saratov Aviation Division
4808,SOZ,Sat Airlines
477,SPM,Air Saint Pierre
10765,SQH,SeaPort Airlines
4475,SRQ,South East Asian Airlines
4496,SSV,Skyservice Airlines
4513,STU,Servicios de Transportes A
4521,SUD,Sudan Airways
4533,SVA,Saudi Arabian Airlines
5234,SVR,Ural Airlines
4547,SWA,Southwest Airlines
4550,SWD,Southern Winds Airlines
4559,SWR,Swiss International Air Lines
4573,SXS,SunExpress
1287,SYL,Aircompany Yakutia
4863,TAE,TAME
4867,TAM,TAM Brazilian Airlines
1290,TAO,Aeromar
4869,TAP,TAP Portugal
4870,TAR,Tunisair
2622,TAT,Grupo TACA
4822,TCF,Shuttle America
5041,TCV,TACV
4897,TCX,Thomas Cook Airlines
1299,TFL,Arkefly
4936,TGW,Tiger Airways
4937,TGW,Tiger Airways Australia
2538,TGZ,Georgian Airways
4940,THA,Thai Airways International
225,THT,Air Tahiti Nui
4951,THY,Turkish Airlines
5188,TIB,TRIP Linhas A
18529,TJA,T.J. Air
4965,TJT,Twin Jet
5038,TNA,TransAsia Airways
5002,TNM,Tiara Air
1308,TOK,Airlines PNG
5013,TOM,Thomsonfly
5016,TOS,Tropic Air
5039,TRA,Transavia Holland
1316,TRS,AirTran Airways
1317,TSC,Air Transat
5067,TSO,Transaero Airlines
5083,TUA,Turkmenistan Airlines
5085,TUI,Tuninter
42,TUS,ABSA - Aerolinhas Brasileiras
8745,TVF,Transavia France
5097,TVS,Travel Service
16624,TWB,Tway Airlines
16150,TYS,TransHolding System
2183,UAE,Emirates
5209,UAL,United Airlines
8463,UBD,United Airways
2104,UGX,East African
9082,UIA,Uni Air
690,UPA,Air Foyle
5265,USA,US Airways
5281,UZB,Uzbekistan Airways
470,VBW,Air Burkina
20004,VC9,Volotea Costa Rica
1886,VCV,Conviasa
5333,VEX,Virgin Express
5347,VIR,Virgin Atlantic Airways
11948,VKH,Viking Hellas
5354,VLO,Varig Log
5297,VLU,Valuair
9666,VNP,Virgin Pacific
20577,VOE,VOLOTEA Airways
5325,VOI,Volaris
5360,VOZ,Virgin Australia
5331,VRD,Virgin America
5368,VRN,VRG Linhas Aereas
4840,VSV,Scat Air
692,VTA,Air Tahiti
18946,VVC,VivaColombia
13757,WAU,Wizz Air Ukraine
5399,WEB,WebJet Linhas A
16660,WER,AeroWorld 
5439,WIF,Widerøe
5416,WJA,WestJet
20976,WSS,World Scale Airlines
5461,WZZ,Wizz Air
2417,XAX,AirAsia X
2264,XLA,Excel Airways
9828,YCC,Ciel Canadien
9829,YCP,Canadian National Airways
16615,ZTF,Mongolian International Air Lines 
16120,ZTT,ZABAIKAL AIRLINES
